Sentence,Person,True_sentiment
Oh oh a quality good because I was worried you guys were gonna be vague about this,Chandler,Neutral
Oh my God! Calling from Rome! Bon giorno caro mio,Rachel,Neutral
Monica your dad just beeped in but can you make it quick? Talking to Rome I'm talking to Rome,Rachel,Neutral
Me? I'm fine fine I'm glad you're here What's with your hair?,Mrs Geller,Neutral
Okay relax relax We are gonna be here for a while it looks like and we still have boyfriends and your career to cover,Ross,Neutral
The fuzzy little mints at the bottom of her purse,Monica,Neutral
Well at least she's with PopPop and Aunt Phyllis now,Ross,Positive
Y'know howhow the nurse said thatthat Nana had passed? Well she's not quite Mrs,Ross,Neutral
Yes Chandler that's exactly what it is It's your hair,Rachel,Neutral
Y'know I dunno who this is but it's not Debbie Hands back the pencil,Phoebe,Neutral
Well that doesn't mean she can't look nice! Mrs,Mrs Geller,Positive
And then we throw your body in the water Gee that does sound fun Mr,Monica,Neutral
No nono don't don't worry about it Believe me apparently other people have made the same mistake,Chandler,Neutral
Lowell? Financial Services' Lowell that's who you saw me with?,Chandler,Neutral
No! Uh I d'know! The point is if you were gonna set me up with someone I'd like to think you'd set me up with someone like him,Chandler,Neutral
Excuse me? You don't think I could get a Brian? Because I could get a Brian Believe you me I'm really not,Chandler,Neutral
You know whatever we pick she would've told us it's the wrong one Mrs,Aunt Lillian,Neutral
And where she's going everyone else'll be dressier? Aunt,Ross,Neutral
Okay I have nothing in an evening shoe in the burgundy I can show you something in a silver that may work Aunt,Ross,Neutral
Mom already called this morning to remind me not to wear my hair up Did you know my ears are not my best feature?,Monica,Neutral
Well don't we look nice all dressed up?It's stuff like that isn't it?,Chandler,Neutral
It really was Oh c'mere sweetheart Y'know I think it might be time for you to start using night cream,Mrs Geller,Positive
Nothing just your overcoat sounds remarkably like Brent Mussberger,Chandler,Neutral
I know uh the air thethe trees even though Nana's gone there's there's something almost uh I dunno almost lifeaff Not looking where he is going he falls into an open grave,Ross,Neutral
I'm fine Justjust having my worst fear realised,Ross,Negative
Here sweetie here I took these when I had my golfing accident,Mrs Geller,Negative
Not the first two but the second two woooo! I love you guys You guys are the greatest I love my sister I love Pheebs,Ross,Positive
And listen man if you wanna be gay be gay Doesn't matter to me,Ross,Positive
No I'd be hearing about 'Why didn't I get the honeyglazed ham?' I didn't spend enough on flowers and if I spent more she'd be saying 'Why are you wasting your money? I don't need flowers I'm dead',Mrs Geller,Negative
Do you know what it's like to grow up with someone who is critical of every single thing you say?,Mrs Geller,Negative
I'm telling you it's a wonder your mother turned out to be the positive lifeaffirming person that she is,Mrs Geller,Positive
No I think some things are better left unsaid I think it's nicer when people just get along,Mrs Geller,Neutral
Oh that's Nana right there in the middle 'Me and the gang at Java Joe's',Monica,Neutral
So how's it going there in Financial Services?,Chandler,Neutral
Good good Listen heh I dunno what Shelley told you about me but uh I'm not,Chandler,Neutral
Out of my league I could get a Brian If I wanted to get a Brian I could get a Brian Hey Brian,Chandler,Neutral
Rachel Rachel sweetheart You're a terrible terrible waitress Really really awful,Terry,Negative
Excuse me sir Hi you come in here all time I was just wondering do you think there's a possibility that you could give me an advance on my tips?,Rachel,Neutral
Ok ok that's fine Fine Hey I'm sorry about that spill before Only $9850 to go,Rachel,Neutral
And this from the cryforhelp department Are you wearing makeup?,Chandler,Neutral
That's so funny 'cause I was thinking you look more like Joey Tribbiani man slash woman,Chandler,Neutral
You know those posters for the city free clinic?,Joey,Neutral
Ok I'll tell you what How about I cook dinner at my place? I'll make it just like Mom's,Monica,Positive
You know they're not actually supposed to have Ross looks at her sheepishly I'll work on the lumps Joey you're going home right?,Monica,Neutral
And I assume Chandler you are still boycotting all the pilgrim holidays,Monica,Neutral
Yeah Rach are you thinking you're gonna make it to Vail?,Monica,Neutral
Ooh ooh Because she's my exwife and will probably want to bring her ooh ooh lesbian life partner,Ross,Neutral
Thanks Yeah Carol borrowed it for a class and I have to get it back to the museum,Ross,Neutral
Ok Wow you guys sure have a lot of books about bein' a lesbian,Ross,Neutral
The uh the baby that hasn't been born yet? Wouldn't that mean you're crazy?,Ross,Neutral
You're not serious I mean you really you really talk to it?,Ross,Neutral
Look if she's talking to it I just think that I should get some belly time too Not that I believe any of this,Ross,Neutral
I'd just like to say that I'm totally behind this experiment In fact I'd very much like to butter your head,Chandler,Neutral
No not even close Forget Vail forget seeing my family forget shoop shoop shoop,Rachel,Negative
Wait wait Chandler this is what you're havin' for Thanksgiving dinner? What what what is it with you and this holiday?,Rachel,Neutral
Yeah at Macy's You were the Obsession girl right? I was the Aramis guy Aramis? Aramis?,Joey,Neutral
I gotta tell you You're the best in the business,Joey,Positive
I'm serious You're amazing You know when to spritz when to lay back,Joey,Positive
Ooh you smell great tonight What're you wearing?,Joey,Positive
Listen uh you wanna go get a drink or something?,Joey,Neutral
Wait wait wait! Joey turns around and sees his face on a poster in the subway The poster,Joey,Neutral
No we were just laughing You know how laughter can be infectious,Phoebe,Neutral
I don't know It's just not the same without Mom in the kitchen,Ross,Negative
Hey Monica I got a question I don't see any tater tots,Joey,Negative
But my mom always makes them It's like a tradition You get a little piece of turkey on your fork a little cranberry sauce and a tot! It's bad enough I can't be with my family because of my disease,Joey,Negative
What Phoebe did you whip the potatoes? Ross needs lumps!,Monica,Neutral
The most unbelievable thing has happened Underdog has just gotten away,Chandler,Neutral
No no the actual cartoon character Of course the balloon It's all over the news Right before he reached Macy's he broke free and was spotted flying over Washington Square Park I'm goin' to the roof who's with me?,Chandler,Neutral
Come on An 80foot inflatable dog let loose over the city How often does that happen?,Chandler,Neutral
So don't do it it's fine You don't have to do it just because Susan does it,Carol,Neutral
I loved the moment when you first saw the giant dog shadow all over the park,Rachel,Positive
Ok right about now the turkey should be crispy on the outside juicy on the inside Why are we standing here?,Monica,Neutral
And everyone's telling me you gotta pick a major you gotta pick a major So on a dare I picked paleontology And you have no idea what I'm saying because let's face it you're a fetus You're just happy you don't have gills anymore,Ross,Neutral
Oh please I am not singing to your stomach ok?,Ross,Neutral
Shh! Here we come walkin' down the street get the funniest looks from everyone we meet Hey hey! Hey uh did you just feel that?,Ross,Neutral
Hey I got one keyhole and about a zillion keys You do the math,Joey,Neutral
Ooh ok that's it Enough with the keys No one say keys,Phoebe,Negative
Aside from the fact that you said you had them?,Rachel,Neutral
Ok Monica only dogs can hear you now so look the door's open Here we go,Chandler,Neutral
Here we come walkin' down the—this doesn't smell like Mom's,Ross,Neutral
Oh god this is great! The plane is gone so it looks like I'm stuck here with you guys,Rachel,Neutral
Oh really? So why was I busting my ass to make this delicious Thanksgiving dinner?,Monica,Negative
Ugly Naked Guy's taking his turkey out of the oven Oh my god He's not alone Ugly Naked Guy's having Thanksgiving dinner with Ugly Naked Gal,Phoebe,Neutral
Ok who wants light cheese and who wants dark cheese?,Chandler,Neutral
Come on you know Thanksgiving Ooh you got the bigger half What'd you wish for?,Phoebe,Neutral
I'd like to propose a toast Little toast here ding ding I know this isn't the kind of Thanksgiving that all of you all planned but for me this has been really great you know I think because it didn't involve divorce or projectile vomiting Anyway I was just thinking I mean if you'd gone to Vail and if you guys'd been with your family if you didn't have syphilis and stuff we wouldn't be all together you know? So I guess what I'm trying to say is that I'm very thankful that all of your Thanksgivings sucked,Chandler,Neutral
Yeah I mean it's been kinda quiet since Carol left so,Ross,Neutral
Nah I dunno I think you reach a certain age having a roommate is kinda pathe sorry that's that's 'pathet' which is Sanskrit for 'really cool way to live',Ross,Neutral
How could you not get it? You were Santa last year,Ross,Neutral
Hey do you guys know what you're doing for New Year's? They all protest and hit her with cushions Gee what?! What is wrong with New Year's?,Rachel,Neutral
Well for your information Paolo is gonna be in Rome this New Year so I'll be just as pathetic as the rest of you,Rachel,Negative
It's just that I'm sick of being a victim of this Dick Clark holiday I say this year no dates we make a pact Just the six of us dinner,Chandler,Negative
Y'know I was hoping for a little more enthusiasm,Chandler,Neutral
Okay hi Ladies and gentlemen back by popular demand Miss Phoebe Buffay Wooh!,Rachel,Positive
Well c'mon if it's important enough to discuss while I'm playing then I assume it's important enough for everyone else to hear!,Phoebe,Neutral
Sorry I wa I was just saying to my friend that I thought you were the most beautiful woman that I'd ever seen in my in my life And then he said that you said you thought,David,Neutral
Daryl Hannah was the most beautiful woman that he'd ever seen in his life and I said yeah I liked her in Splash a lot but not so much in in Wall Street I thought she had kind of a,David,Neutral
hard quality And uh while Daryl Hannah is beautiful in a conventional way you are luminous with a kind of a delicate grace Then uh thatthatthat's when you started yelling,David,Neutral
Hey that guy's going home with more than a note!,Joey,Neutral
Pheebs I can't believe he hasn't kissed you yet I mean God by my sixth date with Paolo I mean he had already named both my breasts! Ooh Did I just share too much?,Rachel,Neutral
David's like y'know Scientist Guy He's very methodical,Phoebe,Neutral
Me too! Oh! Did you ever see An Officer and a Gentleman?,Phoebe,Neutral
Well he's kinda like the guy I went to see that with Except except hehe's smarter and gentler and sweeter I just I just wanna be with him all the time Day and night and night and day and special occasions,Phoebe,Positive
I snapped okay? I couldn't handle the pressure and I snapped,Chandler,Negative
I'm not saying it was a good idea I'm saying I snapped!,Chandler,Negative
I didn't wanna leave him alone Alright? We we had our first fight this morning I think it has to do with my working late I said some things that I didn't mean and he he threw some faeces,Ross,Negative
Oh that'd be great! Okay but if you do make sure it seems like you're there to see him okay and you're not like doing it as a favour to me,Ross,Neutral
But you can't actually test this theory because today's particle accelerators are nowhere near powerful enough to simulate these conditions,David,Neutral
Uh that's definitely a uh valid question And uh the answer would be yes Yes I was But see I wanted it to be this phenomenal kiss that happened at this phenomenal moment because well 'cause it's you,David,Positive
Right But see the longer I waited the more phenomenal the kiss had to be and now we've reached a place where it's just gotta be one of those things where I just like sweep everything off the table and throw you down on it And uh I'm not really a uh sweeping sorta fella,David,Neutral
Okay okay okay Gets ready to sweep and then picks up a laptop computer Y'know what this was just really expensive Puts it down elsewhere Then picks up a microscope And I'll take this was a gift,David,Neutral
Okay what the hell what the hell Sweeps the remaining papers off the desk and grabs Phoebe You want me to actually throw you or youyou wanna just hop?,David,Neutral
So tell me something What does the phrase 'no date pact' mean to you?,Ross,Neutral
Okay so I'm gonna be the only one standing there alone when the ball drops?,Ross,Negative
Hey y'know this is so not what I needed right now,Ross,Negative
Oh it'sit's Marcel He keeps shutting me out y'know? He's walking around all the time dragging his hands,Ross,Negative
Well if you see him tell him to pack his bags We are going to Minsk,Max,Neutral
We got the grant Three years all expenses paid,Max,Positive
Tell her David 'I don't wanna go to Minsk and work with Lifson and Yamaguchi and Flench on nonononononono I wanna stay here and make out with my girlfriend!!',Max,Negative
Sandy! Hi! C'mon in! She enters followed by a young boy and a younger girlYou brought your kids,Joey,Neutral
'That thing'? This is how you greet guests at a party? Let me ask you something if I showed up here with my new girlfriend she wouldn't be welcome in your home?,Ross,Negative
Okay He was more embarrassed about that than anyone Okay? And for him to have the courage to walk back in here like nothing happened,Ross,Neutral
Oh my gosh! Rachel honey are you okay? Wherewhere's Paolo?,Monica,Negative
Y'know when I saw you at the store last week it was probably the first time I ever mentally undressed an elf,Sandy,Neutral
Look at him I'm not saying he has to spend the whole evening with me but at least check in,Ross,Neutral
Alright Janice that's it! Janice Janice Hey Janice when I invited you to this party I didn't necessarily think that it meant that we,Chandler,Neutral
It won't be the same but it'll still be Minsk Happy New Year,Max,Neutral
Yes I can Because if I go it means I have to break up with you and I can't break up with you,David,Negative
Hi this is Dick Clark live in Times Square We're in a virtual snowstorm of confetti here in Times Square,Dick Clark,Neutral
And then the peacock bit me Please kiss me at midnight,Chandler,Neutral
Ooh Uh I don't know how to tell you this but she's in Monica's bedroom getting it on with Max that scientist geek Ooh look at that I did know how to tell you,Chandler,Negative
Y'know I uh just thought I'd throw this out here I'm no math whiz but I do believe there are three girls and three guys right here,Chandler,Neutral
Nonono you can't kiss Ross that's your brother,Joey,Negative
Alright somebody kiss me Somebody kiss me it's midnight! Somebody kiss me!,Chandler,Neutral
I wanted this to work so much I mean I'm still in there changing his diapers pickin' his fleas but he's just phoning it in Just so hard to accept the fact that something you love so much doesn't love you back,Ross,Negative
Oh my God Phoebe Don't look now but behind us is a guy who has the potential to break our hearts and plunge us into a pit of depression,Monica,Negative
Why did I 'woohoo'? I mean what was I hoping would happen? Thatthat he'd turn round and say 'I love that sound I must have you now'?,Monica,Negative
I wish we at least knew his name Look at that face I mean even sleeping he looks smart I bet he's a lawyer,Monica,Neutral
Okay he's a lawyer who teaches sculpting on the side And he can dance!,Monica,Neutral
Are there no conscious men in the city for you two?,Chandler,Neutral
Y'know we don't have to watch this Weekend At Bernie's is on Showtime HBO and Cinemax,Chandler,Neutral
Chandler I gotta tell you I love your mom's books! I love her books! I cannot get on a plane without one! I mean this is so cool!,Rachel,Positive
C'mon Chandler I love your mom I think she's a blast,Ross,Positive
Now what is this about youyou being arrested iin London? What is that all about?,Jay Leno,Neutral
Alright so now you're doing this whole book tour thing how is that going? Mrs,Jay Leno,Neutral
Y'know don't take this wrong II just don't see you aas a mom somehow I don't mean that I don't mean that bad Mrs,Jay Leno,Neutral
What is this dive? Only you could've picked this place Mrs,Ross,Neutral
Hi! Sorry sorry we're late we uh kinda just y'know lost track of time,Rachel,Neutral
Oh please honey listen if I can do it anybody can You just start with half a dozen European cities throw in thirty euphemisms for male genitalia and bam! You have got yourself a book,Mrs Bing,Neutral
Yeah I'm fine I'm fine A woman emerges from the toilet behind him and he tries to pretend he was in the other one Mrs,Ross,Neutral
The girl on the cover with her nipples showing? Mrs,Ross,Neutral
The guy on the cover with his nipples showing? Mrs,Ross,Neutral
Okay uh about last night um Chandler you didn't tell Joey shakes his head Okay 'cause I'm thinking we don't need to tell Chandler I mean it was just a kiss right? One kiss? No big deal? Right?,Ross,Neutral
Yeah well you didn't call and leave your grip size,Joey,Neutral
I don't know God I well it's not like she's a regular mom y'know? She's she's sexy she's,Ross,Neutral
Okay I think we're getting into a weird area here,Ross,Neutral
I'm not really here Just thought I'd drop these offon the way my way Do you come here a lot? Without me?,Monica,Neutral
I spent the entire day with you why didn't you tell me?!,Chandler,Negative
Chandler I didn't kiss her he did! See what happens when you break the code?,Joey,Neutral
Yeah Thought I'd give it a shot I'm still on the first chapter Now do you think his 'love stick can be liberated from its denim prison'?,Rachel,Neutral
Okay maybe it was a trick question Um Rachel can we do this now?,Phoebe,Neutral
Now here's a picture of my mother and father on their wedding day Now you tell me she's not a knockout,Joey,Positive
C'mon! Just try to picture her not pregnant that's all,Joey,Neutral
Yeah I believe I was talking to Joey alright there MotherKisser?,Chandler,Neutral
Chandler can I just say something? II know you're still mad at me I just wanna say that there were two people there that night Okay? Two sets of lips,Ross,Neutral
Okay well if she always behaves like this why don't you say something?,Ross,Neutral
No! Okay you mean you're not gonna talk to her you're not gonna tell her how you feel?,Ross,Neutral
Okay 'you' can't or you can't? Chandler grabs his finger Okay that's my finger That's that's my knee Still doing the play Aaah!,Ross,Neutral
"Oh I don't know Maybe um ""That was nice?"" Admit something to me? ""I'll call you?"" Coma",Monica,Neutral
Y'know what? We thought you were different But I guess it was just the coma Mrs,Phoebe,Negative
No just knowing you're gonna be there is enough Mrs,Chandler,Positive
You kissed my best Ross! Or something to that effect Mrs,Chandler,Neutral
Shh He did it He told her off and not just about the kiss about everything,Joey,Positive
"No no He said ""When are you gonna grow up and start being a mom?""",Joey,Neutral
"Then she came back with ""The question is when are you gonna grow up and realise I have a bomb?""",Joey,Neutral
I dunno I've been standing here spelling it out for you! Goes back to the door I don't hear anything Oh wait wait wait,Joey,Neutral
Okay Now this is just the first chapter and I want your absolute honest opinion Oh oh and on page two he's not 'reaching for her heaving beasts',Rachel,Neutral
Wait did you get to the part about his 'huge throbbing pens'? Tell ya you don't wanna be around when he starts writing with those!,Ross,Negative
Aunt Syl stop yelling! All I'm saying is that if you had told me vegetarian lasagna I would have made vegetarian lasagna pauses listens to person on phone Well the meat's only every third layer maybe you could scrape,Monica,Neutral
Yup! You could plunk me down in the middle of any woman's uterus no compass and I can find my way out of there like that!,Ross,Neutral
Aunt Syl I did this as a favor I am not a caterer What do you want me to do with a dozen lasagnas? Nice talk Aunt Syl You kiss Uncle Freddie with that mouth?,Monica,Negative
Honey you can say it Poconos Poconos it's like Poconos touching Paolo's nose with forefinger with each syllable,Rachel,Neutral
Yes my sister's giving us her place for the weekend,Rachel,Neutral
I mean we are way past the fling thing I mean I am feeling things that I've only read about in Danielle Steele books you know? I mean when I'm with him I'm totally totally,Rachel,Positive
I love babies with their little baby shoes and their little baby toes and their little baby hands,Joey,Positive
Oh great! Is it vegetarian 'cause Susan doesn't eat meat,Carol,Neutral
The sex? Um I'm having enough trouble with the image of you and Susan together when you throw in Tanya miming washing hair that's the best I could think of yaw,Ross,Neutral
No no no no no I don't want to know absolutely not I think you know I think you should know until you look down there and say oop there it is! Or isn't,Ross,Neutral
Ok what whatok what did we think it was going to be? Carol and,Ross,Neutral
No no no I don't want to know don't want to know Ok you know I should probably I should probably just go,Ross,Neutral
No problem ok mmmwa oh mmmwa kisses Carol's stomach then punches Susan's shoulder Susan,Ross,Neutral
Ok so it's just because it was my table I have to buy a new one?,Chandler,Neutral
What rule? There's no rule if anything you owe me a table!,Chandler,Negative
Well I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio,Chandler,Neutral
Well let's just say the impressions you made in the butter left little to the imagination,Chandler,Negative
You think we're ready for something like that?,Chandler,Neutral
Well it's a pretty big commitment I mean what if one of us wants to move out?,Chandler,Neutral
Yeah yeah it's just that with my last roommate Kip,Chandler,Neutral
It's just that we bought a hibachi together and then he ran off and got married and things got pretty ugly,Chandler,Negative
Oh okay I don't know what you just said so let's get started,Phoebe,Neutral
Um that's really your decision I mean some people prefer you know to take offoh whoops! You're being naked!,Phoebe,Neutral
Carol called me to thank me for the lasagna I asked she told me,Monica,Neutral
Wait—oh—hey—huh oh great now he knows and I don't know!,Ross,Negative
Well he came in for a massage and everything was fine until Joey and,Phoebe,Neutral
Oh yeah I'm sure And all of a sudden his hands weren't the problem anymore Flashback,Phoebe,Negative
You have to tell her! You have to tell her! It's your moral obligation as a friend as a woman I think it's a feminist issue! Guys? Guys? waiting for guys to chime in,Ross,Neutral
Oh so forget about the birds but big red insects suggest fine dining!,Chandler,Neutral
Not like that I won't! Kip would have liked the birds! Joey turns and gives Chandler a dirty look,Chandler,Neutral
No these aren't all my suitcases picks up small blue suitcase and shows to Phoebe This one's Paolo's,Rachel,Neutral
Well surejust a sec though 'cause Paolo's on his way over,Rachel,Neutral
Ok thanks Pheebs takes bite of cookie overwhelmed Oh my God why have I never tasted these before?!,Rachel,Positive
All right well you're right these are the best oatmeal cookies I've ever had,Rachel,Positive
Who cares we'll eat at the sink! Come on let's play!,Joey,Positive
Oh but he was my pig manhow did I not see this?,Rachel,Negative
No no trust me it's it's it's much better that I know Uh I just liked it better before it was better,Rachel,Neutral
We should get over there and see if she's okay switching places with Ross Just onesecond! Score! Game! Come on,Monica,Positive
Nono she kicked our butts You could be on the Olympic standingthere team,Joey,Neutral
What are you still doing here? She just broke up with the guy it's time for you to swoop in!,Chandler,Negative
Yes now is when you swoop! You gotta make sure that when Paolo walks out of there the first guy Rachel sees is you She's gotta know that you're everything he's not! You're like like the antiPaolo!,Joey,Positive
"Don't stare Now she just finished throwing his clothes off the balcony now there's just a lot of gesturing and armwaving shows Rachel gesturing with hands in front of her chest Ok that is either ""How could you?"" or ""Enormous breasts!"" Here he comes!",Monica,Neutral
Paolo I really hate you for what you did to Rachel hands him a lasagna but I still have five of these so heat it at 375 until the cheese bubbles,Monica,Neutral
Paolo II just want to tell you and I think I speak for everyone when I say,Ross,Neutral
Oh you guys II really think just one of us should go out there so she's not overwhelmed,Ross,Neutral
I am so sick of guys I don't want to look at another guy I don't want to think about another guy I don't even want to be near another guy,Rachel,Negative
No I just need to be by myself for a while you know? I just got to figure out what I want,Rachel,Neutral
No I know I know and I'm sure your little boy is not going to grow up to be one,Rachel,Neutral
Where are you guys going? Come on one more game!,Monica,Positive
